발전소명,발전원,연료,형식,발전회사,소재지,용량_MW,준공,상태,대수,단위용량,보일러제작사,터빈제작사,발전기제작사,정격전압,용도별,회원,시장,급전
신고리#4,원자력,농축U,PWR,한수원㈜,울산 울주군 서생면 신암리,1400,2019.8,운영중,1,1400 MW,두산중공업,두산중공업,두산중공업,24kV,사업용,정회원,시장,중앙
신고리#3,원자력,농축U,PWR,한수원㈜,울산 울주군 서생면 신암리,1400,2016.12,운영중,1,1400 MW,두산중공업,두산중공업,두산중공업,24kV,사업용,정회원,시장,중앙
신한울 #1,원자력,농축U,PWR,한수원㈜,경북 울진군 북면 울진북로,1400,2022.12,운영중,1,1400 MW,두산중공업,두산중공업,두산중공업,24kV,사업용,정회원,시장,중앙
태안#9,기력,유연탄,기력,서부발전㈜,충남 태안군 원북면 방갈리,1050,2016.10,운영중,1,1050 MW,MHPS,MHPS,MHPS,27kV,사업용,정회원,시장,중앙
태안#10,기력,유연탄,기력,서부발전㈜,충남 태안군 원북면 방갈리,1050,2017.6,운영중,1,1050 MW,MHPS,MHPS,MHPS,27kV,사업용,정회원,시장,중앙
강릉안인#2,기력,유연탄,기력,강릉에코파워(주),강원 강릉시 강동면,1040,2022.10,운영중,1,1040 MW,두산중공업,두산중공업,두산중공업,30KV,사업용,정회원,시장,중앙
강릉안인#1,기력,유연탄,기력,강릉에코파워(주),강원 강릉시 강동면,1040,2022.10,운영중,1,1040 MW,두산중공업,두산중공업,두산중공업,30KV,사업용,정회원,시장,중앙
삼척그린파워 #1,기력,유연탄,기력,남부발전㈜,강원 삼척시 원덕읍,1022,2016.12,운영중,1,1022 MW,FosterWheeler+ 한솔신텍,도시바,도시바,27kV,사업용,정회원,시장,중앙
삼척그린파워 #2,기력,유연탄,기력,남부발전㈜,강원 삼척시 원덕읍,1022,2017.6,운영중,1,1022 MW,FosterWheeler+ 한솔신텍,도시바,도시바,27kV,사업용,정회원,시장,중앙
당진#9,기력,유연탄,기력,동서발전㈜,충남 당진시 석문면,1020,2016.7,운영중,1,1020 MW,MHPS,MHPS,MHPS,27kV,사업용,정회원,시장,중앙
당진#10,기력,유연탄,기력,동서발전㈜,충남 당진시 석문면,1020,2016.9,운영중,1,1020 MW,MHPS,MHPS,MHPS,27kV,사업용,정회원,시장,중앙
신보령#1,기력,유연탄,기력,중부발전㈜,충남 보령시 오천면,1019,2017.6,운영중,1,1019 MW,두산중공업,두산중공업,두산중공업,30kV,사업용,정회원,시장,중앙
신보령#2,기력,유연탄,기력,중부발전㈜,충남 보령시 오천면,1019,2017.9,운영중,1,1019 MW,두산중공업,두산중공업,두산중공업,30kV,사업용,정회원,시장,중앙
