id,type,owner,plant_name,unit_number,location,capacity_mw,status,operation_start,closure_planned,note,latitude,longitude,geocoded
complex_1,복합발전,한국서부발전(주),군산C/C,1.0,경기 평택시 포승읍 남양만로,718.0,운영,2010-05-24 00:00:00,-,,36.9986,126.6794,True
complex_2,복합발전,한국남부발전(주),남제주C/C,1.0,제주 서귀포시 안덕면 화순해안로,159.0,운영,2020-11-27 00:00:00,-,,33.2478,126.4164,True
complex_3,복합발전,한국중부발전(주),보령C/C,1.0,충남 보령시 오천면 오천해안로,450.0,운영,1997-07-07 00:00:00,-,,36.3564,126.5133,True
complex_4,복합발전,한국중부발전(주),보령C/C,2.0,충남 보령시 오천면 오천해안로,450.0,운영,1997-07-07 00:00:00,,,36.3564,126.5133,True
complex_5,복합발전,한국중부발전(주),보령C/C,3.0,충남 보령시 오천면 오천해안로,450.0,운영,1997-07-07 00:00:00,,,36.3564,126.5133,True
complex_6,복합발전,한국남부발전(주),부산C/C,1.0,부산 사하구 감천항로,450.0,운영,2003-05-18 00:00:00,-,,35.0944,128.9639,True
complex_7,복합발전,한국남부발전(주),부산C/C,2.0,부산 사하구 감천항로,450.0,운영,2003-05-18 00:00:00,,,35.0944,128.9639,True
complex_8,복합발전,한국남부발전(주),부산C/C,3.0,부산 사하구 감천항로,450.0,운영,2004-03-01 00:00:00,,,35.0944,128.9639,True
complex_9,복합발전,한국남부발전(주),부산C/C,4.0,부산 사하구 감천항로,450.0,운영,2004-03-01 00:00:00,,,35.0944,128.9639,True
complex_10,복합발전,한국남동발전(주),분당C/C,1.0,경기 성남시 분당구 분당로,574.0,운영,1992-04-30 00:00:00,-,,37.3595,127.1136,True
complex_11,복합발전,한국남동발전(주),분당C/C,2.0,경기 성남시 분당구 분당로,348.0,운영,1997-01-01 00:00:00,,,37.3595,127.1136,True
complex_12,복합발전,한국중부발전(주),서울C/C,1.0,서울 마포구 토정로,369.0,운영,2019-06-01 00:00:00,-,,37.5665,126.978,False
complex_13,복합발전,한국중부발전(주),서울C/C,2.0,서울 마포구 토정로,369.0,운영,2019-11-13 00:00:00,,,37.5665,126.978,False
