id,type,category,owner,terminal_name,tank_number,location,capacity_kl,capacity_mtpa,status,operation_start,closure_planned,latitude,longitude,geocoded
kogas_1,LNG터미널,가스공사,한국가스공사,평택생산기지,1.0,경기도 평택시 포승읍 남양만로 175-88,10.0,41.0,운영,86.10,,36.9986,126.6794,True
kogas_2,LNG터미널,가스공사,한국가스공사,평택생산기지,2.0,경기도 평택시 포승읍 남양만로 175-88,10.0,,운영,86.10,,36.9986,126.6794,True
kogas_3,LNG터미널,가스공사,한국가스공사,평택생산기지,3.0,경기도 평택시 포승읍 남양만로 175-88,10.0,,운영,86.10,,36.9986,126.6794,True
kogas_4,LNG터미널,가스공사,한국가스공사,평택생산기지,4.0,경기도 평택시 포승읍 남양만로 175-88,10.0,,운영,87. 7,,36.9986,126.6794,True
kogas_5,LNG터미널,가스공사,한국가스공사,평택생산기지,5.0,경기도 평택시 포승읍 남양만로 175-88,10.0,,운영,93.12,,36.9986,126.6794,True
kogas_6,LNG터미널,가스공사,한국가스공사,평택생산기지,6.0,경기도 평택시 포승읍 남양만로 175-88,10.0,,운영,94.11,,36.9986,126.6794,True
kogas_7,LNG터미널,가스공사,한국가스공사,평택생산기지,7.0,경기도 평택시 포승읍 남양만로 175-88,10.0,,운영,94.11,,36.9986,126.6794,True
kogas_8,LNG터미널,가스공사,한국가스공사,평택생산기지,8.0,경기도 평택시 포승읍 남양만로 175-88,10.0,,운영,97.10,,36.9986,126.6794,True
kogas_9,LNG터미널,가스공사,한국가스공사,평택생산기지,9.0,경기도 평택시 포승읍 남양만로 175-88,10.0,,운영,97.10,,36.9986,126.6794,True
kogas_10,LNG터미널,가스공사,한국가스공사,평택생산기지,10.0,경기도 평택시 포승읍 남양만로 175-88,10.0,,운영,98.10,,36.9986,126.6794,True
kogas_11,LNG터미널,가스공사,한국가스공사,평택생산기지,11.0,경기도 평택시 포승읍 남양만로 175-88,14.0,,운영,07. 6,,36.9986,126.6794,True
kogas_12,LNG터미널,가스공사,한국가스공사,평택생산기지,12.0,경기도 평택시 포승읍 남양만로 175-88,14.0,,운영,07. 6,,36.9986,126.6794,True
