발전소명,발전회사,연료,"소재지 및
주요생산품목(상용자가)",용량,준공,용량_MW,상태
태안#9,서부발전㈜,유연탄,충남 태안군 원북면 방갈리,1050000,2016.10,1050.0,운영중
태안#10,서부발전㈜,유연탄,충남 태안군 원북면 방갈리,1050000,2017.6,1050.0,운영중
강릉안인#1,강릉에코파워(주),유연탄,강원 강릉시 강동면,1040000,2022.10,1040.0,운영중
강릉안인#2,강릉에코파워(주),유연탄,강원 강릉시 강동면,1040000,2022.10,1040.0,운영중
삼척그린파워 #2,남부발전㈜,유연탄,강원 삼척시 원덕읍,1022000,2017.6,1022.0,운영중
삼척그린파워 #1,남부발전㈜,유연탄,강원 삼척시 원덕읍,1022000,2016.12,1022.0,운영중
당진#10,동서발전㈜,유연탄,충남 당진시 석문면,1020000,2016.9,1020.0,운영중
당진#9,동서발전㈜,유연탄,충남 당진시 석문면,1020000,2016.7,1020.0,운영중
신보령#2,중부발전㈜,유연탄,충남 보령시 오천면,1019029,2017.9,1019.029,운영중
신보령#1,중부발전㈜,유연탄,충남 보령시 오천면,1019029,2017.6,1019.029,운영중
보령#1~3 GT,중부발전㈜,LNG,충남 보령시 오천면,900000,1997.8,900.0,운영중
영흥#3,남동발전㈜,유연탄,인천 옹진군 영흥면,870000,2008.6,870.0,운영중
영흥#4,남동발전㈜,유연탄,인천 옹진군 영흥면,870000,2008.12,870.0,운영중
영흥#5,남동발전㈜,유연탄,인천 옹진군 영흥면,870000,2014.6,870.0,운영중
영흥#6,남동발전㈜,유연탄,인천 옹진군 영흥면,870000,2014.11,870.0,운영중
영흥#2,남동발전㈜,유연탄,인천 옹진군 영흥면,800000,2004.11,800.0,운영중
영흥#1,남동발전㈜,유연탄,인천 옹진군 영흥면,800000,2004.7,800.0,운영중
"신인천#1,2 GT",남부발전㈜,LNG,인천 서구 경서동,600000,1996.6,600.0,운영중
"신인천#3,4 GT",남부발전㈜,LNG,인천 서구 경서동,600000,1996.6,600.0,운영중
서인천 #5~8 GT,서부발전㈜,LNG,인천 서구 경서동,600000,"1992.5, 1992.6",600.0,운영중
서인천#1~4 GT,서부발전㈜,LNG,인천 서구 경서동,600000,"1992.2, 1992.3, 1992.4",600.0,운영중
북평#2,㈜GS 동해전력,유연탄,강원 동해시 공단4로,595000,2017.8,595.0,운영중
북평#1,㈜GS 동해전력,유연탄,강원 동해시 공단4로,595000,2017.3,595.0,운영중
신평택 GT,신평택발전㈜,LNG,경기 평택시 포승읍,580400,2019.10,580.4,운영중
포천천연 GT,포천민자발전㈜,LNG,경기 포천시 신북면,575400,2017.3,575.4,운영중
울산#4 GT,동서발전㈜,LNG,울산 남구 남화동,573200,2013.7,573.2,운영중
평택#2 GT,서부발전㈜,LNG,경기 평택시 포승면,572600,2013.7,572.6,운영중
동두천#2 GT,동두천드림파워㈜,LNG,경기 동두천시 지형동,572600,2015.1,572.6,운영중
동두천#1 GT,동두천드림파워㈜,LNG,경기 동두천시 지형동,572600,2015.3,572.6,운영중
율촌#2 GT,씨지앤율촌전력㈜,LNG,전남 순천시 해룡면,571600,2013.6,571.6,운영중
삼천포#2,남동발전㈜,유연탄,경남 고성군 하이면 덕호리,560000,1984.2,560.0,운영중
삼천포#4,남동발전㈜,유연탄,경남 고성군 하이면 덕호리,560000,1994.3,560.0,운영중
삼천포#3,남동발전㈜,유연탄,경남 고성군 하이면 덕호리,560000,1993.4,560.0,운영중
삼천포#1,남동발전㈜,유연탄,경남 고성군 하이면 덕호리,560000,1983.8,560.0,운영중
파주문산#1 GT,파주에너지서비스㈜,LNG,경기 파주시 파주읍,551000,2017.2,551.0,운영중
파주문산#2 GT,파주에너지서비스㈜,LNG,경기 파주시 파주읍,551000,2017.3,551.0,운영중
영월 GT,남부발전㈜,LNG,강원 영월군 영월읍,549000,2010.10,549.0,운영중
당진#4 GT,GS EPS㈜,LNG,충남 당진시 송악읍,539600,2017.4,539.6,운영중
세종천연가스,중부발전㈜,LNG,세종시 가람동,530441,2013.11,530.441,운영중
양주열병합,대륜발전㈜,LNG,경기 양주시 옥정동,524300,2014.4,524.3,운영중
파주열병합,지역난방공사,LNG,경기 파주시 교하읍,515500,2011.1,515.5,운영중
보령#6,중부발전㈜,유연탄,충남 보령군 오천면 오포,500000,1994.4,500.0,운영중
보령#5,중부발전㈜,유연탄,충남 보령군 오천면 오포,500000,1993.12,500.0,운영중
태안#3,서부발전㈜,유연탄,충남 태안군 원북면 방갈리,500000,1997.3,500.0,운영중
보령#2,중부발전㈜,유연탄,충남 보령군 오천면 오포,500000,1984.9,500.0,운영중
하동#8,남부발전㈜,유연탄,경남 하동군 금성면,500000,2009.5,500.0,운영중
